No,Nama_Program,IPTA,Kod_Program,Tahun,Merit,Is_Feeder,Is_STEM,Bumiputera_Sahaja,Pakej_Min,Peringkat_Pengajian,Mod_Pengajian,Tempoh_Pengajian,Bidang_NEC,Bertemu_Duga,Joint_Degree,Catatan,Req_BM,Req_BI,Req_Sejarah,Req_Math,Req_AddMath,Req_Fizik,Req_Kimia,Req_Bio,Req_Sains,Req_PI,Req_BahasaArab,Pilihan_1_Gred,Pilihan_1_Bil,Pilihan_1_Subjek,Pilihan_2_Gred,Pilihan_2_Bil,Pilihan_2_Subjek,Pilihan_3_Gred,Pilihan_3_Bil,Pilihan_3_Subjek,Pilihan_4_Gred,Pilihan_4_Bil,Pilihan_4_Subjek,Pilihan_5_Gred,Pilihan_5_Bil,Pilihan_5_Subjek,Pilihan_6_Gred,Pilihan_6_Bil,Pilihan_6_Subjek,Pilihan_7_Gred,Pilihan_7_Bil,Pilihan_7_Subjek,Pilihan_8_Gred,Pilihan_8_Bil,Pilihan_8_Subjek,Lain_Gred,Lain_Bil,Has_ATAU,ATAU_JSON,Syarat_Am,Syarat_Khas
1,ASASI PENGURUSAN PELANCONGAN / FOUNDATION IN TOURISM MANAGEMENT,Universiti Islam Antarabangsa Malaysia,UY0000010,2026,79.59,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,"1015 Pengembaraan, Pelancongan Dan Aktiviti Senggang",Tidak,Tidak,Tidak Berkenaan,C,C,C,,,,,,,,,C,1,Matematik|Matematik Tambahan,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,,,,,,,,,,,,,,,,,,,C,2,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
2,ASASI AGRISAINS,Universiti Malaysia Sabah,UH0010003,2026,80.89,Ya,Tidak,Ya,"STEM A, B atau C",Asasi/ Matrikulasi/ Foundation,Konvensional,02 Semester,0011 Program Dan Kelayakan Asas,Tidak,Tidak,Tidak Berkenaan,,,,C,,,,,,,,C,1,Fizik|Kimia|Biologi|Sains,C,2,Matematik Tambahan|Sains Tambahan|Pertanian|Sejarah|Geografi|Pendidikan Islam|Pendidikan Moral|Grafik Komunikasi Teknikal|Asas Kelestarian|Sains Rumah Tangga|Reka Cipta|Sains Komputer|Sains Sukan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Mekanikal|Lukisan Kejuruteraan|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Prinsip Perakaunan|Ekonomi|Perniagaan|Pendidikan Seni Visual|Pengajian Keusahawanan|Produksi Reka Tanda|Reka Bentuk Grafik|Landskap Dan Nurseri|Tanaman Makanan|Akuakultur & Haiwan Rekreasi|Tasawwur Islam,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Sains Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik Tambahan • Sains Tambahan • Pertanian • Sejarah / Geografi • Pendidikan Islam / Pendidikan Moral / Grafik Komunikasi Teknikal / Asas Kelestarian / Sains Rumah Tangga / Reka Cipta / Sains Komputer / Sains Sukan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Lukisan Kejuruteraan / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Prinsip Perakaunan / Ekonomi / Perniagaan / Pendidikan Seni Visual / Pengajian Keusahawanan / Produksi Reka Tanda / Reka Bentuk Grafik / Landskap Dan Nurseri / Tanaman Makanan / Akuakultur & Haiwan Rekreasi / Tasawwur Islam Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
3,ASASI BAHASA ARAB,Universiti Islam Antarabangsa Malaysia,UY0000015,2026,90.23,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0231 Pemerolehan Bahasa,Tidak,Tidak,Tidak Berkenaan,C,C,C,,,,,,,,,B,1,Bahasa Arab|Bahasa Arab Tinggi|Al-lughah Al-arabiah Al-mu'asirah|Turath Bahasa Arab|Al-adab Wa Al-balaghah,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,C,1,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Al-lughah Al-arabiah Al-mu'asirah / Turath Bahasa Arab / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
4,ASASI BAHASA ARAB UNTUK KOMUNIKASI ANTARABANGSA,Universiti Islam Antarabangsa Malaysia,UY0000001,2026,85.26,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0231 Pemerolehan Bahasa,Tidak,Tidak,Tidak Berkenaan,C,C,C,,,,,,,,,B,1,Bahasa Arab|Bahasa Arab Tinggi|Al-lughah Al-arabiah Al-mu'asirah|Turath Bahasa Arab|Al-adab Wa Al-balaghah,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,,,,,,,,,,,,,,,,,,,C,2,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Al-lughah Al-arabiah Al-mu'asirah / Turath Bahasa Arab / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
5,ASASI BAHASA INGGERIS,Universiti Islam Antarabangsa Malaysia,UY0000016,2026,89.01,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0230 Bahasa Tidak Dijelaskan Dengan Lebih Lanjut,Tidak,Tidak,Tidak Berkenaan,C,B,C,,,,,,,,,C,1,Matematik|Matematik Tambahan,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,,,,,,,,,,,,,,,,,,,C,2,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
6,ASASI BAHASA INGGERIS UNTUK KOMUNIKASI ANTARABANGSA,Universiti Islam Antarabangsa Malaysia,UY0000014,2026,85.88,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0230 Bahasa Tidak Dijelaskan Dengan Lebih Lanjut,Tidak,Tidak,Tidak Berkenaan,C,B,C,,,,,,,,,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,,,,,,,,,,,,,,,,,,,,,,C,3,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
7,ASASI BAHASA MELAYU UNTUK KOMUNIKASI ANTARABANGSA,Universiti Islam Antarabangsa Malaysia,UY0000012,2026,86.24,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0230 Bahasa Tidak Dijelaskan Dengan Lebih Lanjut,Tidak,Tidak,Tidak Berkenaan,B,C,C,,,,,,,,,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,,,,,,,,,,,,,,,,,,,,,,C,3,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
8,ASASI EKONOMI & SAINS PENGURUSAN,Universiti Islam Antarabangsa Malaysia,UY0000011,2026,90.33,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0311 Ekonomi,Tidak,Tidak,Tidak Berkenaan,C,C,C,,,,,,,,,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,C,2,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
9,ASASI FARMASI,Universiti Islam Antarabangsa Malaysia,UY0000005,2026,94.87,Ya,Ya,Ya,STEM A,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0916 Farmasi,Tidak,Tidak,Tidak Berkenaan,C,B,C,B,B,B,B,B,,,,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Biologi. Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
10,ASASI ILMU PENGETAHUAN BERTERASKAN WAHYU DAN WARISAN ISLAM,Universiti Islam Antarabangsa Malaysia,UY0000006,2026,85.71,Ya,Tidak,Ya,Semua Pakej,Asasi/ Matrikulasi/ Foundation,Konvensional,01 Tahun,0221 Agama Dan Teologi,Tidak,Tidak,Tidak Berkenaan,C,C,C,,,,,,,,,B,1,Bahasa Arab|Bahasa Arab Tinggi|Al-lughah Al-arabiah Al-mu'asirah|Turath Bahasa Arab|Al-adab Wa Al-balaghah,B,1,Pendidikan Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Usul Al-din|Al-syariah|Hifz Al Quran|Maharat Al Quran|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Manahij Al-'ulum Al-islamiah,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,C,1,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Al-lughah Al-arabiah Al-mu'asirah / Turath Bahasa Arab / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
