"No","Nama Program","IPTA","Kod Program","Tahun","Purata Merit","Tags","Syarat Am","Syarat Khas","Info"
"1","ASASI PENGURUSAN PELANCONGAN / FOUNDATION IN TOURISM MANAGEMENT","Universiti Islam Antarabangsa Malaysia","UY0000010","2026","79.59%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 1015 Pengembaraan, Pelancongan Dan Aktiviti Senggang Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 79.59% Catatan: Tidak Berkenaan"
"2","ASASI AGRISAINS","Universiti Malaysia Sabah","UH0010003","2026","80.89%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Sains Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik Tambahan • Sains Tambahan • Pertanian • Sejarah / Geografi • Pendidikan Islam / Pendidikan Moral / Grafik Komunikasi Teknikal / Asas Kelestarian / Sains Rumah Tangga / Reka Cipta / Sains Komputer / Sains Sukan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Lukisan Kejuruteraan / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Prinsip Perakaunan / Ekonomi / Perniagaan / Pendidikan Seni Visual / Pengajian Keusahawanan / Produksi Reka Tanda / Reka Bentuk Grafik / Landskap Dan Nurseri / Tanaman Makanan / Akuakultur & Haiwan Rekreasi / Tasawwur Islam Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 02 Semester Bidang NEC : 0011 Program Dan Kelayakan Asas Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 80.89% Catatan: Tidak Berkenaan"
"3","ASASI BAHASA ARAB","Universiti Islam Antarabangsa Malaysia","UY0000015","2026","90.23%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Al-lughah Al-arabiah Al-mu'asirah / Turath Bahasa Arab / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0231 Pemerolehan Bahasa Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 90.23% Catatan: Tidak Berkenaan"
"4","ASASI BAHASA ARAB UNTUK KOMUNIKASI ANTARABANGSA","Universiti Islam Antarabangsa Malaysia","UY0000001","2026","85.26%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Al-lughah Al-arabiah Al-mu'asirah / Turath Bahasa Arab / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0231 Pemerolehan Bahasa Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 85.26% Catatan: Tidak Berkenaan"
"5","ASASI BAHASA INGGERIS","Universiti Islam Antarabangsa Malaysia","UY0000016","2026","89.01%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0230 Bahasa Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 89.01% Catatan: Tidak Berkenaan"
"6","ASASI BAHASA INGGERIS UNTUK KOMUNIKASI ANTARABANGSA","Universiti Islam Antarabangsa Malaysia","UY0000014","2026","85.88%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0230 Bahasa Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 85.88% Catatan: Tidak Berkenaan"
"7","ASASI BAHASA MELAYU UNTUK KOMUNIKASI ANTARABANGSA","Universiti Islam Antarabangsa Malaysia","UY0000012","2026","86.24%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0230 Bahasa Tidak Dijelaskan Dengan Lebih Lanjut Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 86.24% Catatan: Tidak Berkenaan"
"8","ASASI EKONOMI & SAINS PENGURUSAN","Universiti Islam Antarabangsa Malaysia","UY0000011","2026","90.33%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0311 Ekonomi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 90.33% Catatan: Tidak Berkenaan"
"9","ASASI FARMASI","Universiti Islam Antarabangsa Malaysia","UY0000005","2026","94.87%","Program Perintis (Feeder), STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Biologi. Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0916 Farmasi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 94.87% Catatan: Tidak Berkenaan"
"10","ASASI ILMU PENGETAHUAN BERTERASKAN WAHYU DAN WARISAN ISLAM","Universiti Islam Antarabangsa Malaysia","UY0000006","2026","85.71%","Program Perintis (Feeder), Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. EMPAT (4) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Al-lughah Al-arabiah Al-mu'asirah / Turath Bahasa Arab / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred B dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Usul Al-din / Al-syariah / Hifz Al Quran / Maharat Al Quran / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Asasi/ Matrikulasi/ Foundation Mod Pengajian : Konvensional Tempoh Pengajian : 01 Tahun Bidang NEC : 0221 Agama Dan Teologi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 85.71% Catatan: Tidak Berkenaan"
